x,y,v
Trinary_Balanced_1,Trinary_Extreme_2,0.02226807666512973
Trinary_Balanced_1,Quaternary_Balanced_1,0.018380739631383754
Trinary_Balanced_1,Quaternary_Balanced_2,0.018380739631383754
Trinary_Balanced_1,Quaternary_Skewed_1a,0.022549278272022646
Trinary_Balanced_1,Quaternary_Skewed_1b,0.022549278272022646
Trinary_Balanced_1,Quaternary_Skewed_2,0.02425422814144298
Trinary_Balanced_1,Quaternary_Extreme_1a,0.16153844582944674
Trinary_Balanced_1,Quaternary_Extreme_1b,0.16153844582944674
Trinary_Balanced_1,Quaternary_Extreme_2,0.2346137197672173
Trinary_Balanced_1,Continuous_Normal,0.0
Trinary_Balanced_1,Continuous_Skewed,0.029928379804831762
Trinary_Balanced_1,Continuous_Binary_Normal_1,0.02044688066876832
Trinary_Balanced_1,Continuous_Binary_Normal_2,0.06203363454097133
Trinary_Balanced_1,Continuous_Trinary_Normal,1.0987079325534241
Trinary_Balanced_1,Continuous_Quaternary_Normal,0.0
Trinary_Balanced_1,Continuous_Binary_Skewed,0.0
Trinary_Balanced_1,Continuous_Trinary_Skewed,1.0987079325534241
Trinary_Balanced_1,Continuous_Quaternary_Skewed,0.0
Trinary_Balanced_1,Unary_1,0.0
Trinary_Balanced_1,Unary_2,0.07981479958746851
Trinary_Balanced_1,Correlated_1,0.0
Trinary_Balanced_1,Correlated_2,0.0
Trinary_Balanced_2,Trinary_Skewed_1a,0.014329428273616497
Trinary_Balanced_2,Trinary_Skewed_1b,0.014329428273616497
Trinary_Balanced_2,Trinary_Skewed_2,0.004619619637139161
Trinary_Balanced_2,Trinary_Extreme_1a,0.022625575257431578
Trinary_Balanced_2,Trinary_Extreme_1b,0.022625575257431578
Trinary_Balanced_2,Trinary_Extreme_2,0.02226807666512973
Trinary_Balanced_2,Quaternary_Balanced_1,0.018380739631383754
Trinary_Balanced_2,Quaternary_Balanced_2,0.018380739631383754
Trinary_Balanced_2,Quaternary_Skewed_1a,0.022549278272022646
Trinary_Balanced_2,Quaternary_Skewed_1b,0.022549278272022646
Trinary_Balanced_2,Quaternary_Skewed_2,0.02425422814144298
Trinary_Balanced_2,Quaternary_Extreme_1a,0.16153844582944674
Trinary_Balanced_2,Quaternary_Extreme_1b,0.16153844582944674
Trinary_Balanced_2,Quaternary_Extreme_2,0.2346137197672173
Trinary_Balanced_2,Continuous_Normal,0.0
Trinary_Balanced_2,Continuous_Skewed,0.029928379804831762
Trinary_Balanced_2,Continuous_Binary_Normal_1,0.02044688066876832
Trinary_Balanced_2,Continuous_Binary_Normal_2,0.06203363454097133
Trinary_Balanced_2,Continuous_Trinary_Normal,1.0987079325534241
